Flare Index, Start Time, Peak Time, End Time
0.0,734301.0327920106,734301.0390420107,734301.0580234921
1.0,734332.4472252296,734332.4503502295,734332.4682901409
2.0,734346.1749216707,734346.1814031522,734346.2096439928
3.0,734351.4249314852,734351.4278250037,734351.456297226
4.0,734357.7520308634,734357.7648780857,734357.8148782061
5.0,734364.3959139201,734364.4050574386,734364.48017338
6.0,nan,nan,nan
7.0,734409.9160776885,734409.9234852337,734409.9340176411
8.0,734427.7943757457,734427.7993525974,734427.8213433382
9.0,734428.3685672216,734428.3727338882,734428.3937988292
10.0,734428.7536380129,734428.7545639388,734428.7648648648
11.0,734436.9176677112,734436.9228760445,734436.9415103038
12.0,734438.7019321871,734438.710728618,734438.7278582476
13.0,734453.0861203894,734453.0922546486,734453.1171389079
14.0,734453.2137827785,734453.2208429637,734453.253713452
15.0,nan,nan,nan
16.0,734453.5405197666,734453.5450337919,734453.5750106437
17.0,734453.6699184726,734453.6763999541,734453.70857588
18.0,734453.8126272247,734453.823159632,734453.8333448173
19.0,734454.059734483,734454.0651742978,734454.0821881867
20.0,734454.1612393532,734454.1617023163,734454.1764015092
21.0,734454.3632075504,734454.3750131059,734454.3926058249
22.0,734454.5703841357,734454.5775600616,734454.6200370531
23.0,734455.4745536103,734455.481382314,734455.5051092989
